tags_1,tags_2,row,column,label,symbol,group,pronounce
kb,lower,1,1,q,,,
kb,lower,1,2,w,,,
kb,lower,1,3,e,,,
kb,lower,1,4,r,,,
kb,lower,1,5,t,,,
kb,lower,1,6,y,,,
kb,lower,1,7,u,,,
kb,lower,1,8,i,,,
kb,lower,1,9,o,,,
kb,lower,1,10,p,,,
kb,lower,2,1,,,,
kb,lower,2,2,a,,,
kb,lower,2,3,s,,,
kb,lower,2,4,d,,,
kb,lower,2,5,f,,,
kb,lower,2,6,g,,,
kb,lower,2,7,h,,,
kb,lower,2,8,j,,,
kb,lower,2,9,k,,,
kb,lower,2,10,l,,,
kb,lower,3,1,,,,
kb,lower,3,2,,,,
kb,lower,3,3,z,,,
kb,lower,3,4,x,,,
kb,lower,3,5,c,,,
kb,lower,3,6,v,,,
kb,lower,3,7,b,,,
kb,lower,3,8,n,,,
kb,lower,3,9,m,,,
kb,lower,3,10,,,,
kb,lower,4,1,CAPS,,upper,
kb,lower,4,2,,,,
kb,lower,4,3,,,,
kb,lower,4,4,SPACE,,,
kb,lower,4,5,SPACE,,,
kb,lower,4,6,SPACE,,,
kb,upper,1,1,Q,,,
kb,upper,1,2,W,,,
kb,upper,1,3,E,,,
kb,upper,1,4,R,,,
kb,upper,1,5,T,,,
kb,upper,1,6,Y,,,
kb,upper,1,7,U,,,
kb,upper,1,8,I,,,
kb,upper,1,9,O,,,
kb,upper,1,10,P,,,
kb,upper,2,1,,,,
kb,upper,2,2,A,,,
kb,upper,2,3,S,,,
kb,upper,2,4,D,,,
kb,upper,2,5,F,,,
kb,upper,2,6,G,,,
kb,upper,2,7,H,,,
kb,upper,2,8,J,,,
kb,upper,2,9,K,,,
kb,upper,2,10,L,,,
kb,upper,3,1,,,,
kb,upper,3,2,,,,
kb,upper,3,3,Z,,,
kb,upper,3,4,X,,,
kb,upper,3,5,C,,,
kb,upper,3,6,V,,,
kb,upper,3,7,B,,,
kb,upper,3,8,N,,,
kb,upper,3,9,M,,,
kb,upper,3,10,,,,
kb,upper,4,1,lower,,lower,
kb,upper,4,4,SPACE,,,
kb,upper,4,5,SPACE,,,
kb,upper,4,6,SPACE,,,
kb,*,5,8,.,,,
kb,*,5,9,",",,,
kb,*,6,8,?,,,
kb,*,6,9,!,,,
kb,*,4,10,Delete,,,
kb,*,5,10,Clear,,,
kb,*,6,10,Speak,,,